/home/nbes/LCA/Visuals.py:32: MatplotlibDeprecationWarning: Adding an axes using the same arguments as a previous axes currently reuses the earlier instance.  In a future version, a new instance will always be created and returned.  Meanwhile, this warning can be suppressed, and the future behavior ensured, by passing a unique label to each axes instance.
  fig.add_axes(ax)
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 180 (seed=739435, Wed Sep 18 09:58:44 2024)
G:78, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:79, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:80, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:81, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:82, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:83, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:84, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:85, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:86, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:87, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:88, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:89, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:90, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:91, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:92, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:93, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:94, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:95, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:96, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:97, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:98, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:99, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:100, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:101, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:102, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:103, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:104, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:105, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:106, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:107, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:108, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:109, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:110, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:111, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:112, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:113, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:114, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:115, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:116, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:117, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:118, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:119, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:120, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:121, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:122, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:123, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:124, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:125, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:126, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:127, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:128, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:129, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:130, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:131, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:132, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:133, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:134, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:135, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:136, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:137, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:138, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:139, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:140, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:141, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:142, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:143, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:144, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:145, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:146, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:147, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:148, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:149, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:150, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:151, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:152, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:153, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:154, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:155, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:156, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:157, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:158, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:159, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:160, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
