[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 144 (seed=343585, Wed Sep 25 12:52:23 2024)
G:149, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:150, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:151, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:152, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:153, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:154, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:155, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:156, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:157, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:158, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:159, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:160, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:161, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:162, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:163, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:164, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:165, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:166, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:167, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:168, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
